artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
Pablo Cepeda,Stand By Me,https://www.last.fm/music/Pablo+Cepeda/_/Stand+By+Me,4150,14290,
ENHYPEN,Given-Taken,https://www.last.fm/music/ENHYPEN/_/Given-Taken,417238,8960433,"Kpop, To, red blood, ethereal, me"
Ocie Elliott,Forest Floor,https://www.last.fm/music/Ocie+Elliott/_/Forest+Floor,35409,139048,
Sarah Menescal,Company,https://www.last.fm/music/Sarah+Menescal/_/Company,5666,19698,
Nea,Some Say - Felix Jaehn Remix,https://www.last.fm/music/Nea/_/Some+Say+-+Felix+Jaehn+Remix,133829,947287,
Kany García,Búscame,https://www.last.fm/music/Kany+Garc%C3%ADa/_/B%C3%BAscame,4036,15020,
Bossa Nova Covers,Take On Me,https://www.last.fm/music/Bossa+Nova+Covers/_/Take+On+Me,7388,26224,
TINI,22,https://www.last.fm/music/Tini/_/22,38000,420935,
Rio Branco,"Hey, Soul Sister","https://www.last.fm/music/Rio+Branco/_/Hey,+Soul+Sister",6496,22697,
Bossa Nova Covers,Cake By The Ocean,https://www.last.fm/music/Bossa+Nova+Covers/_/Cake+By+The+Ocean,7827,26219,
Ed Sheeran,Afterglow,https://www.last.fm/music/Ed+Sheeran/_/Afterglow,170493,1220728,
mgk,my ex's best friend (with blackbear),https://www.last.fm/music/mgk/_/my+ex%27s+best+friend+(with+blackbear),195432,1422667,"alternative, pop, indie rock, alternative rock, pop rock"
Jesse & Joy,Tanto,https://www.last.fm/music/Jesse+&+Joy/_/Tanto,36082,222671,
John K,if we never met - remix,https://www.last.fm/music/John+K/_/if+we+never+met+-+remix,54106,234614,
Yolanda Be Cool,We No Speak Americano (Edit),https://www.last.fm/music/Yolanda+Be+Cool/_/We+No+Speak+Americano+(edit),120910,409347,
Regard,Secrets,https://www.last.fm/music/Regard/_/Secrets,217183,1510656,
Loona,Vamos a la Playa,https://www.last.fm/music/Loona/_/Vamos+a+la+Playa,169108,900703,
K/DA,MORE,https://www.last.fm/music/K%2FDA/_/MORE,398354,6259725,"pop, k-pop, pop rap, trap, electronic"
Stray Kids,Hellevator,https://www.last.fm/music/Stray+Kids/_/Hellevator,201776,3324849,
BTS,Dis-ease,https://www.last.fm/music/BTS/_/Dis-ease,340994,12255525,"k-pop, Korean, samba, I like this, BG"
BTS,Telepathy,https://www.last.fm/music/BTS/_/Telepathy,341730,11555840,"k-pop, pop, bts, I like this, telepathy"
BTS,Inner Child,https://www.last.fm/music/BTS/_/Inner+Child,344945,28063881,"v, Taehyung, k-pop, 2020, BTSV"
Stray Kids,District 9,https://www.last.fm/music/Stray+Kids/_/District+9,169201,2735070,
Dua Lipa,Cool,https://www.last.fm/music/Dua+Lipa/_/Cool,470832,5916843,
Sir Chloe,Michelle,https://www.last.fm/music/Sir+Chloe/_/Michelle,639130,5689308,"indie pop, pop, nandermo, monster"
