artist_id,artist_popularity,artist_followers,artist_genres
4XtfY4CBieEfqF3CSiPrRx,46,14900,swedish pop
5XS999W3Zusct3RcL5EXXL,8,98,
3ZNLwVLzrOCDyWMaqiaQoc,53,24137,"flamenco, flamenco pop, flamenco urbano"
4nDoRrQiYLoBzwC5BhVJzF,81,35927322,
0IaiZRhsEDKT58KYfU5isz,48,54323,
0EWsAmk51sjDlGl7PsvqcH,32,10453,
6w1NzP6f8uY9ydPbaNcZhT,22,3188,
6p2442ymrT9lZEuCZJdYcH,64,2538655,reggaeton
6tPn72eqtXDM1wWAlEX9Rs,44,16396,
47PlThLkeouzT58n1Urjdm,53,15486,
6UCQYrcJ6wab6gnQ89OJFh,64,681449,"uk drill, grime, drill, uk grime"
7iARbJeAB9pfiyj0yl8wIR,0,2,
6BgYuNomEs12UIrnxhWE9a,46,560187,k-pop
0hAd6zwEgt9ILuMDY1prcI,62,801187,
3OWO2LOPTl1u6XvJHkwHmd,53,60478,german indie
1WgXqy2Dd70QQOU7Ay074N,75,4831474,"norwegian pop, art pop"
24nUVBIlCGi4twz4nYxJum,62,1609322,"k-pop, bubblegum pop"
3CiuXDKttPUT0tWGHicFUH,48,95543,
69euPppXM1JP7UYXzKBvi4,43,138082,
5dWiBOsD2jLvYWUSR9XdaZ,44,9030,indie r&b
7o96HO2zrujyATtVsqGhh3,58,364697,
3hcs9uc56yIGFCSy9leWe7,81,9892756,"chicago drill, drill"
6WCTfR8dIuTqWrFrzt2yl0,64,90735,
4HjTOKvYv1iSiQj2Wx31NW,0,5,
5RR0MLwcjc87wjSw2JYdwx,53,4205961,k-pop
3Nk2mAv4k4ZOzrP5tpXL2G,58,39276,"argentine trap, trap"
2wcGy5rVSwCIbgt9YCl4eZ,3,1063,
0qKIWMnkTnpE06eoKG7Pf4,48,15112,"flamenco urbano, flamenco"
0OO76E5lRfeyBI3fkA73Dr,54,270360,hyperpop
7zmuMr74dNGqjq74uibncO,44,54681,hyphy
7n2Ycct7Beij7Dj7meI4X0,84,24055815,k-pop
2ykUp1K8tRaOUFd8vvcwXl,51,26587,"epadunk, melbourne bounce, russelåter, slap house"
5OJ9jD6lY1mFZf48h5WLBK,13,841,
3B77kZJvJq4OR9qsC7UXNW,25,1902,hyperpop
3EApXFqJtyNGLwOVFKvhMP,45,93217,
5UOjUrRG3mEBLlkGHJeQXT,0,1,
79iuzMwaHA4BO9lD647NjM,15,841,grime
3m5qlPf2OkihLz3dRYnkPA,84,1582748,reggaeton
3vsVCHUe68gqUMIZwaVUIK,45,66868,
7HLn9kInyagGBLQzhHicXe,41,13226,salsa
